image_id,mean_red,mean_green,mean_blue,mean_grayscale,std_red,std_green,std_blue,std_grayscale,median_red,median_green,median_blue,median_grayscale,mode_red,mode_green,mode_blue,mode_grayscale,min_red,min_green,min_blue,min_grayscale,max_red,max_green,max_blue,max_grayscale,range_red,range_green,range_blue,range_grayscale,skewness_red,skewness_green,skewness_blue,skewness_grayscale,kurtosis_red,kurtosis_green,kurtosis_blue,kurtosis_grayscale,entropy_red,entropy_green,entropy_blue,entropy_grayscale,quantile_0.25_red,quantile_0.25_green,quantile_0.25_blue,quantile_0.25_grayscale,quantile_0.75_red,quantile_0.75_green,quantile_0.75_blue,quantile_0.75_grayscale,iqr_red,iqr_green,iqr_blue,iqr_grayscale,mean_histogram,std_histogram,median_histogram,mode_histogram,min_histogram,max_histogram,range_histogram,skewness_histogram,kurtosis_histogram,uniformity_histogram,entropy_histogram,R_histogram,contrast_coocurrence_matrix,dissimilarity_coocurrence_matrix,homogeneity_coocurrence_matrix,energy_coocurrence_matrix,correlation_coocurrence_matrix,label
..\data\train\no_pools\img148.jpg,61.544,84.8928,82.856,76.05,5.597790992882818,5.3280867260208895,5.538380990867277,5.382443682938076,62.0,85.0,83.0,76.0,63.0,84.0,84.0,76.0,18.0,40.0,38.0,32.0,93.0,122.0,118.0,111.0,75.0,82.0,80.0,79.0,-0.07821376338352995,0.45622506463526724,0.16600426287406483,0.17943245544264844,3.7870954864444215,5.564734708055289,4.079607212277045,4.642147972421784,4.425234376682694,4.335350411937306,4.427680561459635,4.361771059567052,50.66344572368421,75.65130208333333,72.8625,66.57884457236842,54.76517674180328,78.4767342032967,75.68668831168831,69.70177801724138,4.101731018119068,2.8254321199633665,2.8241883116883173,3.122933444872956,1.8010126582278483,2.24495332601957,142.0,142.0,1.0,142.0,141.0,-13.485634061585483,21.84302966338833,0.6417096944207659,1.0797171879387042,0.0023409548333479524,29.088571428571427,3.767755102040816,0.25617545621311816,0.07031256449855897,0.5025055763817509,no_pools
..\data\train\pools\img1575.jpg,86.7296,90.8204,73.1716,83.2392,36.94830556114854,37.999443993827065,38.49559654609862,37.350196563873666,93.0,97.0,74.0,87.5,95.0,97.0,78.0,87.0,0.0,0.0,0.0,0.0,250.0,255.0,255.0,252.0,250.0,255.0,255.0,252.0,0.13666459628764716,0.5135518216582382,1.603772775509955,0.7361674247851782,1.553177237759905,2.7949820417644675,5.656769408841832,3.1610963995254995,6.8659462528518205,6.7804972139230815,6.697640070574,6.769482941050043,1.2890625,5.5029296875,0.0,2.440625,12.13107638888889,14.53125,8.267045454545455,11.372596153846153,10.84201388888889,9.0283203125,8.267045454545455,8.931971153846153,0.3337523809523809,0.1492678425262731,88.0,88.0,63.0,88.0,25.0,-0.033480817538589475,0.010751983882283662,0.013612466213151927,0.8567317922866549,3.7425255886347486e-05,333.86816326530607,11.87224489795918,0.11453413057955557,0.025403040217886058,0.8811602413604571,pools
..\data\train\no_pools\img1377.jpg,45.6548,61.806,46.036,50.8228,15.778809744717755,23.142591989662698,19.493760642831337,19.248901271501186,51.0,72.0,53.0,58.5,59.0,82.0,61.0,67.0,0.0,6.0,0.0,3.0,82.0,98.0,81.0,85.0,82.0,92.0,81.0,82.0,-0.6329490107722371,-0.7219862584647447,-0.611591970520683,-0.6706679055550578,-0.6606891279127445,-0.8981671802177216,-0.9351421590202698,-0.8990120753691828,5.7520667913377235,6.016531306386416,5.948215450414946,5.865454928499188,13.598046875,15.5361328125,7.852982954545454,13.635416666666666,20.6015625,21.809283088235293,14.7196875,19.715122767857142,7.003515625,6.2731502757352935,6.866704545454545,6.079706101190476,1.8146292682926828,2.2183852627618315,174.0,199.0,1.0,199.0,198.0,-16.707302513111316,29.252705826910194,0.20717952989886973,1.6480027055921336,0.0006601379692576792,83.25061224489795,6.530612244897959,0.1697287935532979,0.03591256910528366,0.8883158185106739,no_pools
..\data\train\pools\img647.jpg,119.3948,133.6596,127.338,126.462,64.07123327172657,70.37578367478405,72.25500782644757,67.44075144895703,110.0,124.0,115.0,120.0,212.0,206.0,216.0,75.0,0.0,0.0,0.0,0.0,255.0,255.0,249.0,252.0,255.0,255.0,249.0,252.0,0.22383821215944424,-0.029183625064358915,0.023475233876500076,-0.005010851355168413,-0.9831706166178988,-1.3531774174954763,-1.4273181327465738,-1.288437881368647,7.730899195989426,7.696166065934525,7.652281982272505,7.734576887230398,2.763671875,2.688802083333333,0.0,2.5984375,13.23486328125,13.875,8.491071428571429,11.712890625,10.47119140625,11.186197916666668,8.491071428571429,9.114453125,0.50795873015873,0.2697098584882652,121.0,76.0,63.0,76.0,13.0,-0.12898043227450945,0.06482931729388045,0.0054486191181657845,0.9792834044920984,5.536598219779698e-06,1050.3065306122448,21.901632653061228,0.08017503310752105,0.017355340102423917,0.884879056365391,pools
..\data\train\no_pools\img1353.jpg,66.1764,82.7836,92.4992,80.1864,6.246125442224163,6.2939948395275955,7.285739451833287,6.461985379123044,66.0,83.0,93.0,80.0,66.0,82.0,91.0,80.0,6.0,18.0,32.0,18.0,91.0,108.0,118.0,105.0,85.0,90.0,86.0,87.0,-1.111853735021015,-1.5268687084179637,-0.9708807813133136,-1.2949121845332323,10.313578381628913,14.731305759325487,5.900787707109929,10.808296242082095,4.525460817755583,4.480299221182418,4.8059171869347805,4.574866529802112,55.5947265625,72.64673913043478,79.4453125,68.96875,58.71519252232143,75.52650669642857,83.45751953125,72.48209635416667,3.1204659598214306,2.879767565993788,4.01220703125,3.5133463541666714,2.097797701149425,2.37902095203246,182.0,182.0,1.0,182.0,181.0,-21.747549670918097,42.47321653262363,0.4485450429065927,1.109999089885545,0.0016173910331039876,26.337959183673473,3.606530612244898,0.2689684036522409,0.06572569301421692,0.6584949634889334,no_pools
..\data\train\pools\img887.jpg,103.7204,98.7132,87.5704,96.332,39.743656397468015,38.34710609368066,45.24573177483153,39.39519991064901,113.0,103.0,85.0,101.0,122.0,107.0,86.0,112.0,0.0,0.0,0.0,1.0,255.0,253.0,252.0,252.0,255.0,253.0,252.0,251.0,0.07094689372866987,0.41474513096750243,1.054698515563572,0.4338234877343517,1.0831618149684772,1.8743672810446776,1.5547441922240255,1.534317029868733,7.011194301584884,7.021696370830336,7.079181089700587,7.055834919722605,9.23828125,10.029296875,4.015625,7.617838541666667,26.15625,25.4208984375,14.8125,23.059375,16.91796875,15.3916015625,10.796875,15.441536458333331,0.3855330677290837,0.15876884280808023,101.0,113.0,15.0,113.0,98.0,-0.0538692711232934,0.020225746203070924,0.010678661633942316,0.8959207615438218,2.5840090355555567e-05,512.5338775510204,13.653877551020411,0.11159578555849999,0.023509282861770134,0.8353496352733082,pools
..\data\train\no_pools\img1125.jpg,87.5844,104.3188,107.6324,99.5032,17.183052017613168,16.11345917424313,17.708090530602107,16.648711354336108,88.0,104.0,109.0,100.0,90.0,104.0,117.0,103.0,37.0,54.0,54.0,48.0,177.0,200.0,192.0,189.0,140.0,146.0,138.0,141.0,0.4022596387696348,0.8312368322161513,-0.05889183986983882,0.36390692101909183,1.8852294074689047,3.0477824875568533,0.9733563746492901,2.003987140708304,6.028991536677737,5.9087440625101895,6.074703624484293,5.969132562826679,50.40909090909091,71.50334821428571,66.98828125,63.58642578125,59.619485294117645,79.1890625,76.39375,71.49183238636364,9.210394385026738,7.6857142857142975,9.405468749999997,7.90540660511364,0.6596822695035461,0.42984512930062097,94.0,99.0,1.0,99.0,98.0,-0.440704168190476,0.27533985276860984,0.06603164875811074,1.159417626129723,0.00020759374313072954,47.81877551020409,4.546122448979592,0.2548281530025138,0.0401164485724265,0.9133036367184098,no_pools
..\data\train\no_pools\img23.jpg,87.7328,84.7952,78.1528,83.1696,46.18700904107128,46.03632106239594,45.6857335736223,45.77304049153825,89.0,85.0,77.0,83.0,93.0,89.0,83.0,88.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,1.3788742491287669,1.4133517840780607,1.7797036147502234,1.5491734820920005,3.446896424369296,3.745186705827342,4.53874009115041,3.960932882345535,6.688132213029597,6.608504330371153,6.687873276783276,6.663550022698576,1.09375,0.013950892857142856,0.016276041666666664,1.6764322916666665,9.43359375,7.071814903846154,8.25439453125,8.6953125,8.33984375,7.057864010989011,8.238118489583334,7.018880208333334,0.32615529411764704,0.17915573438129634,83.0,88.0,118.0,88.0,-30.0,-0.0297763376620625,0.009261629358686334,0.017462559790849673,0.8355016105700123,5.28316323543665e-05,878.6951020408163,14.522857142857145,0.22501239022842334,0.04438576115624704,0.7915247045219541,no_pools
..\data\train\pools\img809.jpg,116.9816,127.0848,120.1132,121.0572,72.2941910629063,78.86136702441824,78.92496427468308,75.2653036143481,108.0,114.0,103.0,109.0,39.0,255.0,255.0,37.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,254.0,255.0,255.0,255.0,254.0,0.270023432103989,0.22353769774914115,0.31202040842882245,0.2175059727081674,-1.2107751622553495,-1.2947642392302745,-1.2637149204708575,-1.3211109680337958,7.849602842937884,7.781210207866033,7.803260594529941,7.843744426799279,3.40625,4.680989583333333,0.3428819444444444,3.21875,13.20703125,13.133370535714286,8.997395833333334,12.451171875,9.80078125,8.452380952380953,8.65451388888889,9.232421875,0.47830393700787405,0.2969144187978562,109.0,37.0,127.0,37.0,-90.0,-0.10700355110041783,0.050669216399775674,0.004838506342612686,0.9867627229236449,3.400372838191501e-06,1337.4689795918366,24.52040816326531,0.0645575560551919,0.01687595925667594,0.8825928786657015,pools
..\data\train\no_pools\img76.jpg,112.0052,105.0924,94.3232,103.492,48.44529670628512,49.28189791637494,50.59253247031621,48.77076517751183,111.0,102.0,85.0,98.0,78.0,118.0,89.0,109.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,254.0,255.0,255.0,255.0,254.0,0.5931172899713153,0.7372596586002063,1.1365134514440172,0.8257775353975924,0.5173906924424423,0.7427056567808612,1.2504070474351048,0.8373159814910665,7.413845287656667,7.41107242271585,7.18519439940481,7.386785038314169,15.970052083333334,5.677083333333333,0.0,7.04296875,27.44140625,19.58203125,12.099609375,19.7625,11.471354166666666,13.904947916666668,12.099609375,12.71953125,0.4083086614173228,0.19254530044667711,98.0,109.0,127.0,109.0,-18.0,-0.06485194549213609,0.025992864072600593,0.007693176325872652,0.9291930361862653,1.4551227281556223e-05,1032.589387755102,20.350204081632654,0.07091197402024005,0.018621819950237373,0.7848987824337385,no_pools
..\data\train\pools\img480.jpg,99.8204,96.73,90.8932,95.4908,49.442113060022024,46.47758492004506,48.72867116759906,47.41177401616606,107.0,102.0,92.0,100.5,122.0,121.0,103.0,118.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,0.07581119333233191,0.21566204289598392,0.6978972303748022,0.2791180887599748,0.2794242698577394,0.9318366571430374,1.2531922899261732,0.7877492878835439,7.380493320476555,7.294484726834847,7.305719521260101,7.333107246694762,0.208984375,0.6427556818181819,0.0,0.7552083333333333,6.005859375,6.783854166666667,5.6396484375,6.15234375,5.796875,6.141098484848485,5.6396484375,5.397135416666667,0.37447372549019603,0.18557081659236724,101.0,118.0,164.0,118.0,-46.0,-0.049607241251829956,0.018208187805718794,0.007591674114263744,0.9195244778950238,1.4276072699770381e-05,935.3416326530613,19.21673469387755,0.07788649334595424,0.018670960018747233,0.790393182546303,pools
..\data\train\pools\img408.jpg,105.8188,126.6012,122.18,117.8792,60.88055491337115,67.79838168098115,80.58946581284678,67.18612808727707,92.0,103.0,86.0,95.0,72.0,255.0,255.0,72.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,252.0,255.0,255.0,255.0,252.0,0.8049765107337457,0.3811787449800837,0.3976732520494288,0.41442121320357345,-0.27291582851806195,-1.1872412636132263,-1.4428858803840703,-1.1160390474887607,7.599212986011159,7.60452863445359,7.574508561900377,7.634672927576769,11.728515625,16.302083333333332,4.033203125,11.103125,21.375,30.690104166666668,17.98828125,23.7421875,9.646484375,14.388020833333336,13.955078125,12.6390625,0.47306190476190474,0.26853877550058836,96.0,73.0,63.0,73.0,10.0,-0.1035557530235371,0.048378309226787056,0.006035454452003023,0.966597187393225,7.828893104466772e-06,1040.2020408163266,21.042040816326534,0.07589912563065315,0.01744868122432576,0.8857997583991971,pools
..\data\train\pools\img178.jpg,112.6404,107.1148,97.0508,105.2808,43.97707457118993,42.16663160557172,43.12238652208386,42.18700690212568,109.0,102.0,90.0,100.0,107.0,95.0,83.0,92.0,0.0,0.0,0.0,0.0,230.0,227.0,253.0,226.0,230.0,227.0,253.0,226.0,0.05162528911654064,0.2583917553072197,0.5835569710448542,0.25127618939385526,-0.41427880326253774,-0.25689804055660836,0.3833151859723305,-0.3013829909605228,7.3050434787305205,7.243936495292559,7.251745006867692,7.235261647246164,15.234375,17.333984375,9.21484375,16.181640625,31.3671875,32.4296875,25.236150568181817,31.901785714285715,16.1328125,15.095703125,16.021306818181817,15.720145089285715,0.5254761061946903,0.20923286627413396,113.0,104.0,5.0,104.0,99.0,-0.15579208200439745,0.08043582792728347,0.010592925140574829,0.9990004402679811,2.1799471518701985e-05,701.886530612245,17.76571428571429,0.09346768520209611,0.019799074017363107,0.803855754127606,pools
..\data\train\pools\img1143.jpg,76.4548,81.7616,66.7032,74.6564,33.705844551946775,37.319099204562804,45.10860571731297,37.60738144354111,77.0,77.0,58.0,71.0,98.0,83.0,65.0,83.0,0.0,1.0,0.0,0.0,194.0,226.0,245.0,215.0,194.0,225.0,245.0,215.0,0.29648103406991594,1.507696193560764,1.9363999051010312,1.2526876215586142,-0.3197882912220176,3.04962320808045,4.1186078608113155,1.9893427400608337,6.971548894564409,6.861968329719212,6.940430856792873,6.921412437028971,12.880859375,19.880208333333332,5.19140625,12.7587890625,25.1943359375,30.799107142857142,14.235276442307692,23.588541666666668,12.3134765625,10.91889880952381,9.043870192307692,10.829752604166668,0.4111441860465116,0.20391557037333047,84.0,98.0,4.0,98.0,94.0,-0.07576431715397033,0.030258408657993077,0.014275605155651705,0.9926854379733392,3.4129602464183506e-05,327.71387755102046,12.482040816326533,0.10351086144477221,0.021155696991637957,0.885510166116001,pools
..\data\train\no_pools\img1338.jpg,119.154,111.604,104.6348,111.4528,70.09613316011091,69.15398458512713,65.74374364880661,68.23176805682233,105.0,96.0,89.0,96.0,63.0,53.0,0.0,61.0,0.0,0.0,0.0,0.0,255.0,255.0,253.0,253.0,255.0,255.0,253.0,253.0,0.27740928095774314,0.28214182899355444,0.293372456288837,0.28525539707420716,-1.2269796535248705,-1.2289707222109054,-1.1561452920317423,-1.2118658257005408,7.785769140790592,7.7644960493811634,7.722207780117353,7.759448034791907,6.3623046875,0.2734375,0.0,2.30078125,14.0185546875,8.5546875,3.614583333333333,8.6337890625,7.65625,8.28125,3.614583333333333,6.3330078125,0.4436648221343874,0.2712432502219563,97.0,61.0,85.0,61.0,-24.0,-0.08522430075400853,0.03736054491446755,0.005402355813713696,0.9792811521427154,5.480119322220922e-06,1682.9289795918369,27.923265306122453,0.05828624387264296,0.016699814322839825,0.8181905788297781,no_pools
..\data\train\pools\img950.jpg,88.9476,87.4308,94.9484,90.1304,34.23411243540571,32.99599386834711,55.02032476676233,37.534397502024724,95.0,96.0,84.0,94.0,95.0,106.0,82.0,104.0,0.0,0.0,0.0,0.0,181.0,188.0,255.0,189.0,181.0,188.0,255.0,189.0,-0.5839172018351777,-0.6652481394600213,1.0299866174022705,-0.19043500701561714,-0.25074667806044015,0.015947516907006243,0.6745009804950182,-0.2197083462182694,6.967710029013654,6.880222090713017,7.339986263833456,7.132259608868317,5.70703125,2.6979166666666665,2.00439453125,3.58642578125,17.751953125,16.408854166666668,10.856584821428571,16.314453125,12.044921875,13.710937500000002,8.852190290178571,12.72802734375,0.6432867724867725,0.30296691496437883,127.0,140.0,3.0,140.0,137.0,-0.3417152591626228,0.21595832815942967,0.01553798181237927,1.1334606616546317,3.269943517714147e-05,330.75224489795914,12.193877551020408,0.10514310283777913,0.02053430404588615,0.8835470631914389,pools
..\data\train\pools\img1498.jpg,114.5712,120.2608,116.2768,116.7268,51.025289127647284,52.189470042911914,63.312843734585165,52.599986328515335,113.0,110.0,97.0,108.0,113.0,100.0,86.0,101.0,0.0,0.0,0.0,1.0,242.0,224.0,255.0,224.0,242.0,224.0,255.0,223.0,0.23776323572551855,0.07196993283683495,0.32884425097390857,0.0405156383792868,-0.7091866460624621,-1.1664365873407627,-1.0960315221257957,-1.1717034781736457,7.465976333785565,7.375660979929226,7.65029775817399,7.399054653201224,20.622395833333332,18.1875,8.515625,17.85546875,35.01215277777778,36.982142857142854,23.938802083333332,34.109375,14.389756944444446,18.794642857142854,15.423177083333332,16.25390625,0.5934959641255605,0.2657146074510376,122.0,114.0,3.0,114.0,111.0,-0.2305209690433831,0.1350019825084453,0.009108224355205212,1.033177334937767,1.546977134025962e-05,521.690612244898,15.482448979591835,0.08964649293906092,0.01906389003780693,0.9054301953954097,pools
